Airline,Region,Height (cm),Width (cm),Depth (cm),Weight limit (kg),Personal item height (cm),Personal item width (cm),Personal item depth (cm),Notes,Official source,Last verified
Aegean,Europe,56,45,25,,,,,,,
Aer Lingus,Europe,55,40,24,,,,,,,
Aeromexico,Latin America & Caribbean,55,40,25,,,,,,,
Air Canada,North America,55,40,23,,,,,,,
Air China,Asia-Pacific,55,40,20,,,,,,,
Air France,Europe,55,35,25,,,,,,,
Air Transat,North America,55,40,23,,,,,,,
airBaltic,Europe,55,40,23,,,,,,,
Alaska,North America,56,36,23,,,,,,,
Allegiant,North America,55,40,25,,,,,,,
American,North America,56,36,23,,,,,,,
ANA,Asia-Pacific,55,40,25,,,,,,,
Austrian,Europe,55,40,23,,,,,,,
Avianca,Latin America & Caribbean,55,35,25,,,,,,,
Azores,Europe,55,40,20,,,,,,,
Breeze Airways,North America,56,36,23,,,,,,,
British Airways,Europe,56,45,25,,,,,,,
Brussels,Europe,55,40,23,,,,,,,
Caribbean,Latin America & Caribbean,56,35,23,,,,,,,
Cathay Pacific,Asia-Pacific,56,36,23,,,,,,,
China Airlines,Asia-Pacific,56,36,23,,,,,,,
Condor,Europe,55,40,20,,,,,,,
Copa,Latin America & Caribbean,55,35,25,,,,,,,
Delta,North America,56,36,23,,,,,,,
easyJet,Europe,56,45,25,,,,,,,
Emirates,Middle East & Africa,55,38,22,,,,,,,
Etihad Airways,Middle East & Africa,56,36,23,,,,,,,
EVA Air,Asia-Pacific,56,36,23,,,,,,,
Fiji Airways,Asia-Pacific,55,40,23,,,,,,,
Finnair,Europe,55,40,23,,,,,,,
Flair,North America,55,40,23,,,,,,,
Frontier,North America,61,40.6,25.4,,,,,,,
Hawaiian,North America,56,36,23,,,,,,,
Iberia,Europe,56,40,25,,,,,,,
Icelandair,Europe,55,40,20,,,,,,,
ITA Airways,Europe,55,35,25,,,,,,,
Japan Airlines,Asia-Pacific,55,40,25,,,,,,,
JetBlue,North America,56,36,23,,,,,,,
KLM,Europe,55,35,25,,,,,,,
Korean Air,Asia-Pacific,55,40,20,,,,,,,
La Compagnie,Europe,55,35,25,,,,,,,
LATAM,Latin America & Caribbean,55,35,25,,,,,,,
LEVEL,Europe,56,40,25,,,,,,,
LOT,Europe,55,40,23,,,,,,,
Lufthansa,Europe,55,40,23,,,,,,,
Norse,Europe,56,45,25,,,,,,,
Norwegian,Europe,55,40,23,,,,,,,
Philippine Airlines,Asia-Pacific,56,36,23,,,,,,,
PLAY,Europe,56,45,25,,,,,,,
Porter,North America,55,40,23,,,,,,,
Qantas,Asia-Pacific,55,35,22,,,,,,,
Qatar,Middle East & Africa,50,37,25,,,,,,,
Royal Air Maroc,Middle East & Africa,55,40,25,,,,,,,
Ryanair,Europe,55,40,20,,,,,,,
SAS,Europe,55,40,23,,,,,,,
Singapore Airlines,Asia-Pacific,55,35,25,,,,,,,
Southwest,North America,61,40.6,25.4,,,,,,,
Spirit,North America,56,46,25,,,,,,,
Sun Country,North America,61,40.64,27.94,,,,,,,
Sunwing,North America,51,40,23,,,,,,,
SWISS,Europe,55,40,23,,,,,,,
TAP,Europe,55,40,25,,,,,,,
TUI,Europe,55,40,20,,,,,,,
Turkish Airlines,Europe,55,40,23,,,,,,,
United,North America,56,36,23,,,,,,,
Virgin Atlantic,Europe,56,36,23,,,,,,,
Virgin Australia,Asia-Pacific,56,36,23,,,,,,,
Viva Aerobus,Latin America & Caribbean,55,40,25,,,,,,,
Volaris,Latin America & Caribbean,55,40,25,,,,,,,
Vueling,Europe,55,40,20,,,,,,,
WestJet,North America,56,36,23,,,,,,,
Wizz Air,Europe,55,40,23,,,,,,,
ZIPAIR,Asia-Pacific,55,40,25,,,,,,,
